Mean,Median,STD,Variance,Min,Max,Range,IQR,Kurtosis,Skewness,MAD,RMS,NumPeaks,Energy,ZCR,FFT_Mean,FFT_Std,PSD_Mean,PSD_Std,Class
31.078914,31.079,17.944978,322.022219,0.005,62.153,62.148,31.0805,1.799996,0.000006,15.539534,35.886888,13,7919104.774,0.000081,0.038578,0.604232,25.253448,222.953396,Stand
30.795391,30.795,17.782066,316.201867,0.003,61.586,61.583,30.798,1.799991,0.00001,15.398471,35.559894,7,7704635.447,0.000082,0.038549,0.60146,24.206624,213.710686,Stand
33.126965,33.127,17.394119,302.55538,3.007,63.247,60.24,30.125,1.799995,0.000002,15.062511,37.415251,0,8434403.426,0.000083,0.039095,0.642673,27.452259,242.367573,Stand
31.497071,31.504,18.186444,330.746757,0.004,62.984,62.98,31.495,1.799857,-0.00033,15.749444,36.369764,0,8329418.041,0.000079,0.038252,0.605147,25.779555,227.598886,Stand
30.734324,30.7345,17.746538,314.939622,0.004,61.465,61.461,30.735,1.799999,0.000001,15.3677,35.489245,2,7660196.869,0.000082,0.03853,0.600758,24.197828,213.633049,Stand
36.166981,36.171,18.57608,345.07074,4.001,68.331,64.33,32.17425,1.799782,-0.000155,16.086532,40.657934,2,10634183.91,0.000078,0.039556,0.677353,32.23069,284.557606,Stand
30.956648,30.9565,17.87534,319.527773,0.002,61.911,61.909,30.957,1.799968,0.000032,15.479222,35.746184,16,7827739.534,0.000082,0.038554,0.602936,24.198053,213.635016,Stand
30.755224,30.7555,17.759047,315.383752,0.005,61.508,61.503,30.756,1.799994,0.000011,15.378536,35.513599,6,7675758.82,0.000082,0.038534,0.600971,24.199195,213.645109,Stand
31.164014,31.164,17.991672,323.700272,0.009,62.319,62.31,31.1605,1.8,0,15.579993,35.983942,0,8069468.535,0.00008,0.038202,0.601792,24.718538,218.23086,Stand
31.03026,31.03,17.917263,321.028322,0.004,62.056,62.052,31.0305,1.799996,0.000005,15.515541,35.830895,3,7882857.779,0.000081,0.038564,0.60368,24.202174,213.671471,Stand
33.357236,33.365,17.529272,307.275362,3.005,63.705,60.7,30.365,1.799606,-0.000345,15.180304,37.681957,0,8617554.562,0.000082,0.039124,0.64486,27.471206,242.534851,Stand
34.40203,34.402,16.97843,288.267098,5.002,63.802,58.8,29.40425,1.8,-0.000001,14.7025,38.362974,0,8655172.263,0.000085,0.03972,0.670812,27.913596,246.440827,Stand
38.140633,38.14,22.020748,484.913362,0.006,76.276,76.27,38.137,1.799978,0.000032,19.069297,44.040402,8,14635897.12,0.000066,0.039232,0.66953,36.937872,326.118057,Stand
30.677471,30.674,17.710891,313.675666,0.007,61.347,61.34,30.675,1.799981,-0.000004,15.336883,35.422185,21,7614963.547,0.000082,0.038536,0.600322,24.209966,213.740264,Stand
32.091032,32.0915,18.528614,343.309533,0.006,64.176,64.17,32.089,1.8,0,16.045001,37.055234,0,8812493.944,0.000078,0.038295,0.610686,26.828366,236.859061,Stand
