Mean,Median,STD,Variance,Min,Max,Range,IQR,Kurtosis,Skewness,MAD,RMS,NumPeaks,Energy,ZCR,FFT_Mean,FFT_Std,PSD_Mean,PSD_Std,Class
19.9906,20.0109,11.551,133.4256,0.007964,39.9759,39.968,19.9994,1.8,0.000109,10.0024,23.0871,982,2109670.556,0,0.037127,0.484,9.79268,86.44914,Stand
32.0009,32.0208,17.3213,300.0277,1.96094,61.9766,60.0156,30.0188,1.8002,-0.000254,14.9987,36.3873,1496,7858164.562,0,0.039146,0.62783,25.6291,226.2712,Stand
31.087,31.0438,17.9548,322.3743,0.01734,62.2344,62.2171,31.1029,1.7996,0.000456,15.5486,35.8988,1424,7924374.977,0,0.038584,0.60442,25.2705,223.1014,Stand
30.804,30.8022,17.7841,316.2746,-0.258312,61.5734,61.8317,30.8196,1.8004,-0.000338,15.4,35.5684,1532,7708322.974,0.000821,0.038578,0.60161,24.2186,213.8159,Stand
33.1577,33.0723,17.3894,302.3923,3.05006,63.2955,60.2454,30.1678,1.7983,0.002196,15.0583,37.4403,1213,8445699.17,0,0.039072,0.64318,27.4905,242.7068,Stand
31.5083,31.5393,18.1971,331.1352,-0.027546,63.0563,63.0838,31.5153,1.7998,-0.00156,15.7556,36.3848,1353,8336324.522,0.000476,0.038283,0.60538,25.8006,227.7872,Stand
30.7207,30.7066,17.7463,314.9296,-0.002462,61.4589,61.4613,30.715,1.7999,0.000208,15.3677,35.4773,1570,7655045.69,0.000164,0.038522,0.60053,24.1808,213.4829,Stand
36.1873,36.2344,18.5767,345.095,3.88793,68.3896,64.5017,32.1939,1.799,0.000679,16.0837,40.6763,1183,10643810.66,0,0.039553,0.67769,32.2606,284.8219,Stand
30.9596,30.989,17.8638,319.1154,-0.13551,61.9238,62.0593,30.9316,1.7999,-0.000935,15.4702,35.743,1220,7826347.616,0.00049,0.038547,0.60293,24.195,213.6051,Stand
30.7616,30.7619,17.7703,315.782,-0.014082,61.5264,61.5404,30.8297,1.8005,-0.001003,15.3868,35.5247,1350,7680573.244,0.000164,0.038554,0.60113,24.2145,213.7801,Stand
31.2111,31.2066,17.9879,323.5648,0.066977,62.3908,62.3238,31.1512,1.7997,-0.000128,15.5759,36.0228,1245,8086908.771,0,0.038208,0.60255,24.7724,218.7061,Stand
31.0171,30.9989,17.9177,321.0437,-0.039208,62.0415,62.0807,30.9915,1.8001,0.000152,15.5157,35.8198,1397,7877956.249,0.000326,0.038557,0.60346,24.1867,213.5327,Stand
33.3857,33.3121,17.5326,307.393,2.98387,63.809,60.8252,30.3931,1.8012,0.000849,15.178,37.7088,1076,8629817.553,0,0.039173,0.64536,27.511,242.8826,Stand
34.4138,34.3421,16.9614,287.6883,5.01483,63.8066,58.7918,29.3993,1.7995,0.000547,14.6925,38.366,1169,8656540.82,0,0.039715,0.67095,27.9194,246.4881,Stand
38.1449,38.1165,22.0102,484.4472,-0.039652,76.2726,76.3123,38.0889,1.7993,0.001,19.0614,44.0388,1711,14634821.81,0.000398,0.039228,0.66955,36.936,326.1003,Stand
30.6842,30.7087,17.7098,313.6385,-0.062531,61.3572,61.4197,30.6218,1.8004,-0.0006,15.3351,35.4275,1350,7617239.891,0.00033,0.038536,0.60043,24.2163,213.7994,Stand
32.108,32.0852,18.5148,342.7991,0.027188,70.8691,70.8419,32.0954,1.7994,-0.002939,16.0337,37.0631,1294,8816222.566,0,0.038132,0.61091,26.852,237.0701,Stand
31.1204,31.1297,18.0285,325.0281,-0.112809,62.3655,62.4783,31.2426,1.801,-0.000976,15.6119,35.9646,1141,8078921.116,0.00048,0.038182,0.60057,24.5771,216.9819,Stand
30.7309,30.7856,17.7408,314.7376,-0.044407,61.5655,61.61,30.7009,1.7998,-0.000031,15.3637,35.4834,1026,7656436.613,0.000329,0.038549,0.60077,24.1994,213.6449,Stand
31.2491,31.2483,18.0475,325.7106,-0.670421,62.4675,63.138,31.2696,1.8016,-0.00108,15.6264,36.0855,1420,8049975.352,0.001132,0.038614,0.60589,25.2621,223.0291,Stand
39.9964,40.0067,17.3248,300.1475,10.0112,69.9903,59.9791,30.034,1.8002,-0.000156,15.0023,43.5868,1518,11279162.24,0,0.041828,0.76668,36.9599,326.3141,Stand
31.2246,31.2129,18.027,324.9739,-0.049312,62.4753,62.5246,31.2075,1.7997,0.000163,15.6115,36.0541,1478,8030765.816,0.000324,0.038587,0.60558,25.2513,222.9317,Stand
31.9648,31.9706,17.3256,300.1769,1.92711,61.9816,60.0545,30.0003,1.8001,1.7e-05,15.003,36.3576,1423,7847987.591,0,0.039125,0.62712,25.5704,225.7499,Stand
31.0172,31.0596,17.9168,321.0125,-0.091971,62.0647,62.1567,30.9828,1.7999,-0.000544,15.5148,35.8194,1194,7875231.61,0.000489,0.038584,0.60356,24.2025,213.673,Stand
32.8051,32.8184,18.9477,359.0165,-0.060583,65.6559,65.7165,32.8347,1.8,3.9e-05,16.4078,37.8832,1679,9318339.093,0.000154,0.038765,0.62075,27.3962,241.8715,Stand
33.868,33.8501,19.5554,382.4122,-0.037407,67.7116,67.749,33.856,1.8002,-0.000186,16.9338,39.1075,1746,10248494.88,0.000298,0.038854,0.63084,29.66,261.8591,Stand
32.088,32.1038,18.5377,343.6479,-0.04881,65.1584,65.2072,32.1191,1.7996,-0.000631,16.054,37.0572,1492,8725538.883,0.00063,0.038815,0.61373,26.2829,232.036,Stand
31.2233,31.195,18.0177,324.6393,-0.249034,62.3404,62.5895,31.1771,1.8013,-0.000077,15.5971,36.0483,1310,8032085.456,0.000162,0.038584,0.60542,25.219,222.6475,Stand
31.0205,31.0457,17.933,321.5934,-0.004925,62.1676,62.1725,31.011,1.7994,0.001053,15.5298,35.8303,1389,7889035.681,0.000325,0.038566,0.6034,25.2055,222.5304,Stand
31.1287,31.1329,17.974,323.0648,0.071281,62.3018,62.2305,31.1555,1.7999,0.000121,15.5646,35.9445,1433,7958769.294,0,0.038563,0.60461,25.2442,222.8713,Stand
31.2236,31.2272,18.0295,325.0615,0.006647,62.4361,62.4295,31.2333,1.7995,0.000897,15.6128,36.0544,1496,8030913.327,0,0.038481,0.60559,25.2512,222.9348,Stand
35.05385,35.00914,17.3164,299.8588,5.08993,65.09348,60.0036,29.9883,1.8009,0.001518,14.9944,39.09707,1232,9159257.16,0,0.039812,0.67719,29.16289,257.4708,Sit
